name,city,state_region,country,address,phone,rating,review_count,latitude,longitude,keyword,scraped_date,website
Scottsdale Roofing and Gutters,Scottsdale,Arizona,USA," 8075 E Morgan Trail, Scottsdale, AZ 85258", (480) 426-0885,5,,33.5489463,-111.9366225,flat roof repair near me,2026-06-23,https://www.scottsdaleroofingandgutters.com
Lux Management Group,Scottsdale,Arizona,USA," 6400 E McDowell Rd Ste #160, Scottsdale, AZ 85257", (480) 999-2308,3.3,,33.5287418,-111.9412569,metal roof repair near me,2026-06-23,https://www.guaranteedhomesolutions.com
Roofing Logistics,Little Rock,Arkansas,USA," 10003 Sibley Hole Rd, Mabelvale, AR 72103", (501) 351-1581,5,,34.7396901,-92.3393497,roof repair near me,2026-06-23,https://roofinganddumpster.com
Raintight Roofing Inc,Little Rock,Arkansas,USA," 15417 AR-107, Jacksonville, AR 72076", (501) 213-1146,4.6,,34.877536,-92.3462103,commercial roof repair near me,2026-06-23,https://www.raintightroofing.net
Roofing Force,Fort Smith,Arkansas,USA," 4916 Towson Ave, Fort Smith, AR 72901", (479) 437-0171,5,,35.336141,-94.5757017,roof repair near me,2026-06-23,https://roofingforce.com
Peak Roofing and Exteriors,Fayetteville,Arkansas,USA," 660 S Crossover Rd, Fayetteville, AR 72701", (479) 301-8070,4.9,,36.1189247,-94.1877006,roof repair near me,2026-06-23,https://thepeakroof.com
Affordable Roofs LLC,Fayetteville,Arkansas,USA," 1189 Highbush Ave, Fayetteville, AR 72701", (479) 313-3299,4.9,,36.0495926,-98.964301,emergency roof repair near me,2026-06-23,http://affordableroofsllc.com
Foster Roofing Company,Springdale,Arkansas,USA," 3357 Wagon Wheel Rd, Springdale, AR 72762", (479) 751-2300,4.9,,36.1881013,-94.1670091,roof repair near me,2026-06-23,https://roofwithfoster.com
Topline Commercial Roofing,Springdale,Arkansas,USA," 8 Grassland Trail, Bentonville, AR 72712", (479) 466-5422,5,,36.371892,-94.2364557,commercial roof repair near me,2026-06-23,https://www.toplineroofpros.com
Delta Roofing & Restoration,Jonesboro,Arkansas,USA," 2301 Congress Cir, Jonesboro, AR 72401", (870) 393-7555,5,,35.963745,-90.7291005,roof repair near me,2026-06-23,https://deltaroofs1.com
Roof X Solutions,Jonesboro,Arkansas,USA," 211 Harry Dr, Jonesboro, AR 72401", (870) 520-9100,4.7,,35.7812745,-90.7291005,commercial roof repair near me,2026-06-23,https://roofxsolutions.com
Ultra Roofer Peak Authority,Los Angeles,California,USA," 750 Garland Ave, Los Angeles, CA 90017", (424) 344-4728,4.8,,34.069949,-118.3170218,roof repair near me,2026-06-23,http://caroofco.com
Evo Roof Repair Los Angeles,Los Angeles,California,USA," 453 S Spring St Ste 1935, Los Angeles, CA 90013", (323) 593-2556,5,,34.0925138,-118.3170218,roofing repair near me,2026-06-23,https://evoroofrepair.com
Central Roofing,Los Angeles,California,USA," 555 W 182nd St, Gardena, CA 90248", (310) 527-6770,4.8,,33.786671,-118.2990476,emergency roof repair near me,2026-06-23,https://lp.centralroof.com
AEL Roof Leak Repair Los Angeles,Los Angeles,California,USA,"Los Angeles, CA, United States", (323) 693-7886,5,,33.786671,-118.2990476,roof leak repair near me,2026-06-23,https://aelroofing.com
Commercial Roofing Los Angeles,Los Angeles,California,USA," 5521 Washington Blvd, Los Angeles, CA 90016", (424) 842-2249,4.9,,34.0375195,-118.5163616,commercial roof repair near me,2026-06-23,https://www.commercialroofinglosangeles.net
LA Roofing Contractors,Los Angeles,California,USA," 320 N Gardner St, Los Angeles, CA 90036", (844) 766-8327,4.8,,34.0768282,-118.5054252,flat roof repair near me,2026-06-23,https://laroofingcontractors.homes
Metal Roofing Los Angeles,Los Angeles,California,USA," 1225 Cypress Ave Ste 3 #V119, Los Angeles, CA 90065", (323) 968-6348,4.9,,34.064071,-118.3133834,metal roof repair near me,2026-06-23,https://www.metalroofinglosangeles.net
"Premier Roofing CA, Inc.",San Diego,California,USA," 9134 Olive Dr, Spring Valley, CA 91977", (619) 667-4565,,,32.7773453,-117.1246852,roof repair near me,2026-06-23,https://www.premierroofingca.com
Los Gatos Roofing,San Jose,California,USA," 888 Faulstich Ct, San Jose, CA 95112", (408) 677-2818,4.8,,37.3125624,-121.8936015,roof repair near me,2026-06-23,https://www.losgatosroofing.com
"Eastman Roofing & Waterproofing, Inc.",San Jose,California,USA," 1418 Douglas St, San Jose, CA 95126", (408) 389-1385,,,37.3264126,-121.8965694,emergency roof repair near me,2026-06-23,https://www.eastmanroofing.com
Trio Roofers,San Jose,California,USA," 1665 W San Carlos St, San Jose, CA 95128", (888) 800-4776,4.8,,37.3275795,-121.9095631,commercial roof repair near me,2026-06-23,https://trioroofers.com
Any Roof Repair & Installation,San Jose,California,USA," 1 Curtner Ave, San Jose, CA 95125", (669) 304-3716,5,,37.3103061,-121.8987319,flat roof repair near me,2026-06-23,http://www.anyroofrepairsanjose.com
Eco Smart Roofer,San Francisco,California,USA," 551 25th Ave, San Francisco, CA 94121", (415) 240-9840,4.9,,37.7638403,-122.439689,roof repair near me,2026-06-23,https://ecosmartroofer.com
SF Roof Specialists,San Francisco,California,USA," 2001 Van Ness Ave, San Francisco, CA 94109", (628) 209-0999,4.8,,37.7361348,-122.439689,roofing repair near me,2026-06-23,https://sanfranciscoroofspecialists.homes
W. R. MEADOWS,San Francisco,California,USA," 652 Indiana Street, Benicia, California 94510-1110", (707) 745-6666,3.5,,37.7361348,-122.4384716,commercial roof repair near me,2026-06-23,https://www.wrmeadows.com
Nabi Construction & Engineering,San Francisco,California,USA," 340 Division St, San Francisco, CA 94103", (415) 552-2215,4.2,,37.7265768,-122.4384716,flat roof repair near me,2026-06-23,https://www.nabiconstruction.com
Marina Bay Roofing,San Francisco,California,USA," 4411 Geary Blvd #301, San Francisco, CA 94118", (628) 233-8140,5,,37.780606,-122.6191353,metal roof repair near me,2026-06-23,https://marinabayroofing.com
"Roof Maxx of N. Fresno, CA",Fresno,California,USA," 4762 W Jennifer Ave Ste 101, Fresno, CA 93722", (559) 550-6398,4.9,,36.812334,-120.4891589,roof repair near me,2026-06-23,https://roofmaxx.com
Roof Pros Roofing & General Construction,Fresno,California,USA," 440 W Fallbrook Ave #105, Fresno, CA 93711", (559) 408-6506,5,,36.709082,-119.7498099,emergency roof repair near me,2026-06-23,http://www.roofprosroofing.com
Grandmark Service Company,Fresno,California,USA," 4545 N Brawley Ave Ste 105, Fresno, CA 93722", (559) 272-7495,,,36.7950973,-119.7892632,commercial roof repair near me,2026-06-23,https://www.grandmarkservicecompany.com
Best Choice Roofing,Fresno,California,USA," 2777 W Browning Ave, Fresno, CA 93711", (559) 575-2734,4.9,,36.8189158,-119.9961462,metal roof repair near me,2026-06-23,https://californiabestchoiceroofing.com
Sacramento Roof Repair,Sacramento,California,USA," 180 Promenade Cir 304 #304, Sacramento, CA 95834", (279) 999-7759,4.9,,38.6364574,-121.6517504,roof repair near me,2026-06-23,http://sacramentorooffix.com
Sacramento Roofing Service & Contractors,Sacramento,California,USA," 2019 O St #101, Sacramento, CA 95811", (279) 238-5044,5,,38.571238,-121.6337489,roofing repair near me,2026-06-23,https://sacramentoroofingservice.site
CentiMark Corporation,Sacramento,California,USA," 1010 Winding Creek Rd #130, Roseville, CA 95678", (916) 290-9890,3.1,,38.5928828,-121.262551,commercial roof repair near me,2026-06-23,https://www.centimark.com
California Flat Roofs,Sacramento,California,USA," 5000 Emerald Brook Way, Sacramento, CA 95838", (916) 603-3212,4.7,,38.6585655,-122.0495752,flat roof repair near me,2026-06-23,http://www.californiaflatroofs.com
Specialist Roofing & Repair,Long Beach,California,USA," 1 World Trade Center 8th Floor, Long Beach, CA 90831", (562) 207-5139,4.8,,33.767897,-119.4197104,roof repair near me,2026-06-23,https://specialistroofing.com
Central Roofing Company Huntington Beach,Long Beach,California,USA," 3182 Portofino Cir, Huntington Beach, CA 92649", (714) 733-2368,5,,33.835649,-118.0405815,emergency roof repair near me,2026-06-23,https://lp.centralroof.com
Simon Roofing,Long Beach,California,USA," 2730 S Fairview St, Santa Ana, CA 92704", (323) 219-5793,3,,33.835649,-118.0405815,metal roof repair near me,2026-06-23,https://simonroofing.com
Signature Roof Repair,Oakland,California,USA," 3873 Piedmont Ave #9, Oakland, CA 94611", (510) 322-2206,4.9,,37.8248491,-122.3309172,roof repair near me,2026-06-23,http://pinchednervespecialistsouthbrunswick.site
Emergency Roof Repair Company,Oakland,California,USA," 1378 N Main St, Walnut Creek, CA 94596", (925) 425-2684,5,,37.6800051,-122.0352586,emergency roof repair near me,2026-06-23,http://oaklandroofingpros.com
Summit Roof Repair,Oakland,California,USA," 333 Hegenberger Rd 501 Suite 501, Oakland, CA 94621", (341) 234-3143,4.9,,37.7356796,-122.8081578,roof leak repair near me,2026-06-23,http://summitroofrepair.site
W. R. MEADOWS,Oakland,California,USA," 652 Indiana St, Benicia, CA 94510", (707) 745-6666,3.5,,38.0723,-122.2800373,commercial roof repair near me,2026-06-23,https://www.wrmeadows.com
Simon Roofing,Oakland,California,USA," 584 Castro St, San Francisco, CA 94114", (213) 248-3224,5,,37.759609,-122.5875363,metal roof repair near me,2026-06-23,https://simonroofing.com
Roof On Brand,Bakersfield,California,USA," 239 Bernard St, Bakersfield, CA 93305", (661) 636-8844,5,,35.2935235,-118.9054431,roof repair near me,2026-06-23,https://www.roofonbrand.com
Superior Roofing Systems,Anaheim,California,USA," 1101 E Gene Autry Way, Anaheim, CA 92805", (714) 557-5077,5,,33.7935719,-117.8882932,roof repair near me,2026-06-23,https://www.superiorroofingsystems.com
Central Roofing Company,Anaheim,California,USA," 8171 Monroe Ave, Stanton, CA 90680", (213) 414-7642,4.9,26,33.806095,-118.1423603,emergency roof repair near me,2026-06-23,https://lp.centralroof.com
W. R. MEADOWS of SOUTHERN CALIFORNIA,Anaheim,California,USA," 2300 Valley Blvd, Pomona, CA 91768", (909) 469-2606,4.6,,33.8223407,-117.905894,commercial roof repair near me,2026-06-23,https://www.wrmeadows.com
Denver Roofers LLC,Denver,Colorado,USA," 4454 Tennyson St, Denver, CO 80212", (720) 443-4202,4.9,,39.7775891,-105.1961449,roof repair near me,2026-06-23,http://mydenverroofers.com
Elite Roofing & Solar,Denver,Colorado,USA," 5475 Peoria St #4-106, Denver, CO 80239", (303) 296-0361,4.9,,39.7229532,-104.9461916,roofing repair near me,2026-06-23,https://www.elite-roofs.com
New Roof Plus,Denver,Colorado,USA," 110 16th St Mall Ste 1455, Denver, CO 80202", (303) 529-7554,4.9,,39.7416029,-104.958937,emergency roof repair near me,2026-06-23,https://www.newroofplus.com
"Peak To Peak Roofing & Exteriors, LLC",Denver,Colorado,USA," 4155 E Jewell Ave #1100, Denver, CO 80222", (720) 740-4325,4.9,,39.7410992,-104.9461916,roof leak repair near me,2026-06-23,https://peaktopeakroofing.com
CentiMark Corporation,Denver,Colorado,USA," 12330 E 46th Ave #100, Denver, CO 80239", (303) 583-3939,4.9,,39.7410992,-104.9560762,commercial roof repair near me,2026-06-23,https://www.centimark.com
Frontier Metal Roofing,Denver,Colorado,USA," 2570 S Dayton Way apt f108, Denver, CO 80231", (720) 615-2627,5,,40.0389714,-104.4757464,metal roof repair near me,2026-06-23,https://denvercometalroofing.com
Cheyenne Mountain Roofing - Colorado Springs Roof Repair & Replacement,Colorado Springs,Colorado,USA," 712 Clark Pl Unit 110, Colorado Springs, CO 80915", (719) 322-4659,4.9,,38.9025582,-104.7772901,roof repair near me,2026-06-23,https://cheyennemtnroofing.com
Elevation Commercial Roofing,Colorado Springs,Colorado,USA," 90 Mt View Ln Ste I, Colorado Springs, CO 80907", (719) 351-0553,5,,38.89112,-104.9739903,commercial roof repair near me,2026-06-23,https://elevationcommercialroofing.com
"Rampart Roofing, Inc.",Colorado Springs,Colorado,USA," 912 N Circle Dr, Colorado Springs, CO 80909", (719) 487-7663,4.9,,38.8587887,-104.7772901,metal roof repair near me,2026-06-23,http://www.rampartroofing.com
Hernandez & Sons Roofing,Aurora,Colorado,USA," 18121 E Hampden Pl, Aurora, CO 80013", (720) 679-5500,4.8,,39.6558635,-104.8444535,roof repair near me,2026-06-23,https://hernandezsonsroofing.com
Fort Roof Repairs,Fort Collins,Colorado,USA," 207 W Myrtle St, Fort Collins, CO 80521", (714) 261-9263,5,,40.5798544,-105.2319006,roof repair near me,2026-06-23,https://fort-roof-repairs.ueniweb.com
Bone Dry Roofing,Fort Collins,Colorado,USA," 1301 E Mulberry St, Fort Collins, CO 80524", (970) 557-7619,4.8,,40.535873,-105.0503936,emergency roof repair near me,2026-06-23,https://www.bonedry.com
Colorado Superior Roofing & Exteriors,Lakewood,Colorado,USA," 7721 W 6th Ave Unit b, Lakewood, CO 80214", (303) 937-7000,4.8,,39.7172664,-105.0652998,roof repair near me,2026-06-23,https://coloradosuperiorroofing.com
Richie's Roofing Llc,Bridgeport,Connecticut,USA," 7 Woods Way, New Fairfield, CT 06812", (203) 994-3019,4.7,,41.467388,-74.0792992,roof repair near me,2026-06-23,https://quote.richiesroofingct.net
Richie's Roofing Llc,Bridgeport,Connecticut,USA," 7 Woods Way, New Fairfield, Connecticut 06812", (203) 994-3019,4.7,,41.317135,-73.227912,roof leak repair near me,2026-06-23,https://quote.richiesroofingct.net
Ellis Builders LLC,New Haven,Connecticut,USA," 238 Reservoir Rd, Southbury, CT 06488", (860) 499-4970,5,,41.3188464,-72.9545619,roof repair near me,2026-06-23,https://www.ellisbuildersllc.com
Pro Exteriors LLC,New Haven,Connecticut,USA," 90 Hamilton St, New Haven, CT 06511", (203) 909-8075,4.9,,41.3188464,-72.9545619,roofing repair near me,2026-06-23,https://proexteriorsct.com
Ellis Builders LLC,New Haven,Connecticut,USA,"238 Reservoir Rd, Southbury, CT 06488, United States", (860) 499-4970,5,,41.4296122,-72.8988419,metal roof repair near me,2026-06-23,https://www.ellisbuildersllc.com
BNF Construction LLC,Hartford,Connecticut,USA," 270 Fairview St, New Britain, CT 06051", (860) 215-2842,5,,41.500727,-72.757507,roof repair near me,2026-06-23,https://www.bnfconstruction.com
Hemlock Roofing,Hartford,Connecticut,USA," 105 Evergreen Ave, Hartford, CT 06105", (774) 418-3724,5,,41.500727,-72.757507,emergency roof repair near me,2026-06-23,https://hemlockroofingco.com
QNK Roofing Stamford Ct,Stamford,Connecticut,USA," 113 Stillwater Ave, Stamford, CT 06902", (203) 883-5033,4.8,,41.164176,-73.472772,roof repair near me,2026-06-23,https://www.qnkroofing.com
G & V Roofing,Stamford,Connecticut,USA," 942 Putnam Ave, Merrick, NY 11566", (516) 437-7955,5,,40.695966,-74.1697762,roofing repair near me,2026-06-23,https://www.gandvroofing.com
"David's Roofing and Restorations, LLC",Stamford,Connecticut,USA," 34 Maple Ave, Armonk, NY 10504", (914) 494-9094,5,,41.126718,-74.9317024,commercial roof repair near me,2026-06-23,https://www.davidsroof.com
Rock Roof LLC,Wilmington,Delaware,USA," 109 N Dupont Rd, Wilmington, DE 19807", (302) 547-3625,4.9,,39.753858,-75.7409173,roof repair near me,2026-06-23,https://www.rockroofingde.com
DE Commercial Roofing Pros of Wilmington DE,Wilmington,Delaware,USA," 1007 Orange St #602, Wilmington, DE 19801", (302) 246-8508,5,,39.7458842,-75.5556691,commercial roof repair near me,2026-06-23,https://decommercialroofers.com
Bright Side Roofing,Dover,Delaware,USA," 4 Mifflin Rd, Dover, DE 19904", (302) 674-4642,4.8,,39.221858,-76.3165074,roof repair near me,2026-06-23,https://trustbrightside.com
Class Roofing,Newark,Delaware,USA," 16 Ardmore Rd, Newark, DE 19713", (302) 405-2392,5,,39.6554013,-75.8931503,roof repair near me,2026-06-23,https://roofingwithclass.com
"Perfect Roofing, Inc.",Newark,Delaware,USA," 701 Dawson Dr, Newark, DE 19713", (302) 246-7214,5,,39.5275047,-78.687782,roofing repair near me,2026-06-23,https://www.perfectroofing.us
EDiS Company,Newark,Delaware,USA," 110 S Poplar St #400, Wilmington, DE 19801", (302) 421-5700,4.6,,39.633545,-75.7007595,metal roof repair near me,2026-06-23,https://butlerpartsonline.com
"Paddy's Roofing, Siding and Chimneys",Middletown,Delaware,USA," 5207 Summit Bridge Rd, Middletown, DE 19709", (302) 691-9891,4.9,,39.5374881,-75.7083484,roof repair near me,2026-06-23,https://www.gopaddys.com
Roof It - Delaware Roofing Contractors,Middletown,Delaware,USA," 420 Boyds Corner Rd Ste C, Middletown, DE 19709", (302) 676-6348,5,,39.3481285,-75.608722,metal roof repair near me,2026-06-23,http://roofit.today
SPC Roofers,Jacksonville,Florida,USA," 1845 University Blvd N, Jacksonville, FL 32211", (904) 647-5945,4.8,,30.2551777,-81.6343604,roof repair near me,2026-06-23,https://spcroofers.com
Jacksonville Roofing USA,Jacksonville,Florida,USA," 6215-1 Wilson Blvd Building 1, Jacksonville, FL 32210", (904) 516-4279,5,,30.2718809,-81.897147,roofing repair near me,2026-06-23,https://jacksonvilleroofingusa.com
Jacksonville Roofing Repair and Installations,Jacksonville,Florida,USA," 3955 Riverside Ave, Jacksonville, FL 32205", (786) 652-1600,5,,30.2685256,-81.5313199,roof leak repair near me,2026-06-23,https://jacksonville-roofing-repair-and-installations.ueniweb.com
SDG Roofing,Miami,Florida,USA," 16650 N Kendall Dr Ste 208, Miami, FL 33196", (305) 904-9923,5,,25.682709,-80.5373957,roof repair near me,2026-06-23,https://sdgroofing.com
SDG Roofing,Miami,Florida,USA," 16650 North Kendall Drive Suite 208, Miami, FL 33196", (305) 904-9923,,,25.796238,-80.2608996,emergency roof repair near me,2026-06-23,https://sdgroofing.com
Ultra Roof Repair Miami,Miami,Florida,USA," 333 SE 2nd Ave Suite #3995, Miami, FL 33131", (305) 676-8110,4.9,,25.7869341,-80.2540364,flat roof repair near me,2026-06-23,https://ultraroofrepair.com
4thGen Roofing,Tampa,Florida,USA," 13790 49th Street N, Clearwater, FL 33762", (727) 353-3024,5,,27.897168,-83.0060656,roof repair near me,2026-06-23,https://4thgenroofing.com
Gravity Roofing,Orlando,Florida,USA," 14 S Bumby Ave, Orlando, FL 32803", (407) 461-0234,5,,28.531543,-81.399048,roof repair near me,2026-06-23,https://gravityroof.com
Gold Key Roofing,Orlando,Florida,USA," 4874 S Orange Ave, Orlando, FL 32806", (407) 851-0680,4.8,,28.5336618,-81.399048,roof leak repair near me,2026-06-23,https://www.goldkeyroofing.com
Rhino Commercial Roofing,Orlando,Florida,USA," 1255 La Quinta Dr Ste 230, Orlando, FL 32809", (407) 270-1489,5,,28.509285,-81.394644,commercial roof repair near me,2026-06-23,https://rhinocommercialroofers.com
Thomas Roofing & Repair,Orlando,Florida,USA," 924 W Colonial Dr, Orlando, FL 32804", (407) 408-0577,4.8,,28.5351292,-81.399048,roof repair companies near me,2026-06-23,https://thomasroofingandrepair.com
Florida Roof-Tech,Hialeah,Florida,USA," 2730 W 78th St, Hialeah, FL 33016", (305) 363-6760,4.6,,25.8756546,-80.3274034,emergency roof repair near me,2026-06-23,https://frtroof.com
Tadlock Roofing,Tallahassee,Florida,USA," 502 Capital Cir SE Unit C1, Tallahassee, FL 32301", (850) 601-8574,4.8,,30.227236,-84.5028384,roof repair near me,2026-06-23,https://tadlockroofing.com
Tallahassee Roofing Inc.,Tallahassee,Florida,USA," 5521 Tower Rd, Tallahassee, FL 32303", (850) 562-8366,4.6,,30.227236,-84.5028384,roofing repair near me,2026-06-23,https://www.tallahasseeroofinginc.com
Ultra Roof Repair Fort Lauderdale,Fort Lauderdale,Florida,USA," 110 SE 6th St #3292, Fort Lauderdale, FL 33301", (954) 594-8655,5,,26.2054655,-80.255922,roof repair near me,2026-06-23,https://ultraroofrepair.com
Roof Leak Repair by RoofingGuys,Fort Lauderdale,Florida,USA," 4725 N Ocean Dr #122, Lauderdale-By-The-Sea, FL 33308", (954) 353-8666,5,,26.2054655,-80.255922,roof leak repair near me,2026-06-23,https://roofleakrepairroofingguys.com
